bench,a1.large-1,a1.large-2,a1.xlarge-1,m5.large-1,m5.large-2,m5.xlarge-1,A2-1,A2-2,A4-1,B2MS-1,B2MS-2,B4MS-1,e2-t1-1,e2-t1-2,e2-t2-1,n1-t1-1,n1-t1-2,n1-t2-1,T1-1,T1-2,T2-1,T3-1,T3-2,T4-1
NETB 1,249.84902342786657,256.5170110974108,256.2683353884097,344.636932182491,358.54110727496953,362.89192848335375,174.99733333333333,174.44887627365358,176.4224142011837,192.50593442622966,192.72251162790724,193.21701498929352,499.78044980940314,508.5088437102927,519.3333392630245,516.4259034307496,515.7729694656485,520.2436721728079,na,na,na,na,na,na
DISKB LAT,48.304118372379776,48.86838471023434,50.75824907521578,81.00263871763259,79.81215782983972,83.37003699136851,12.506052631578944,10.015225618631728,9.474112426035513,17.674515648286132,17.63842576028621,18.213790149892933,53.27969504447267,54.761321473951654,56.33692503176616,54.87573062261746,56.21758269720103,57.05491740787793,11.91312154696132,13.344475138121567,13.94046961325967,13.242762430939232,11.81878453038674,10.946657458563548
CPU SHA256,3.201223592272914,3.1962803123715573,3.169270859021786,2.939258117550345,2.9421483764899294,2.842259350595971,8.236519493177388,8.208078602620086,8.201485700197228,3.51346348733234,3.508969588550985,3.4827037830121355,3.68627615417196,3.675472681067349,3.4413693350275274,3.64207115628971,3.632759117896518,3.4299373146971672,5.198447513812153,3.188285911602206,3.145517955801106,3.1867044198895016,4.9293052486187845,4.894368784530388
CPU BZIP2,9.609303740238381,9.590834360871353,9.660639950678183,5.13125113029183,5.124821208384711,4.893806822852441,13.68417397660818,13.660784085395454,13.670681952662715,5.9842652757079,5.975175909361957,5.9379628836545395,7.2074087251164745,7.155216010165186,6.124833121558661,7.025642100804735,6.989907124681942,6.094427784836922,9.443921270718235,5.859962246777159,5.809054327808471,5.856895948434625,9.106302025782691,8.968555248618793
CPU AES,1.3060106863953953,1.3022198931360462,1.329164817098235,1.0336157007809286,1.0323131935881629,0.9766506370735728,3.7818718323586755,3.7759257641921358,3.791713510848124,1.7499850968703425,1.7684764460345848,1.7483468950749463,1.2814934349851768,1.2659720457433297,1.209441338415926,1.2429754341380777,1.2333019508057674,1.1943358746293946,2.5207177716390414,2.021296040515654,2.0044212707182316,2.0204337016574585,2.442190607734803,2.3903996316758733
DISK SEQ W,132.62519934237562,132.6524702013972,123.53258939580823,129.05664611590495,129.0614180024648,129.0709987669531,22.963664717348983,23.139505094614286,23.124008875739676,23.90281669150531,23.899833035181917,23.82080656673805,89.19397289284191,87.99897077509517,82.6548835239307,82.03512918254985,79.59076759966077,78.4241507835663,117.77140883977903,76.50633977900561,74.20610957642725,74.35264732965005,97.23216390423559,94.12653775322283
NET 1,101.9964858199754,102.97653514180014,103.46963419646522,98.78334977394174,99.13426017262634,99.2267098232635,141.17157407407416,141.38067200388147,142.29061637080864,106.43552906110288,105.76555456171737,102.47027123483218,95.24767259635753,95.03759423972895,95.28437526471846,95.37919949174078,95.19560644614079,95.24660313426516,3.5374861878453054,3.5385543278084723,3.535499539594843,3.543496777163906,3.5370764272559865,3.536758747697978
NET 2,139.26635840526117,147.56765721331686,146.81118783394976,136.81022194821207,147.68081586518696,146.74327168105225,139.50487085770007,136.04183648714223,138.31699950690333,158.80918032786875,155.9895229576625,158.80852248394,207.04578356628562,203.4951545955103,208.16459551037704,209.24265141889032,206.4874809160303,212.12453621346893,4.469749079189684,4.431335174953957,4.451503222836096,4.471703499079189,4.436915285451201,4.402334254143641
NET 3,8.842552404438965,9.110049321824906,8.912092067406494,9.150078092889439,9.126808466913266,9.153201808466903,10.48641325536062,10.753971373119844,10.8822090729783,11.121015896671635,11.141949910554558,11.118679514632397,8.897393053790775,9.01311732316815,8.965180008470986,9.16149936467598,9.147707803223062,9.079284201609479,1.0442380294659228,1.042417127071816,1.042419429097598,1.0420672191528473,1.0431883057090174,1.0434875690607663
NET 4,141.48245787094115,147.33424989724637,147.79285244554052,141.18602548294297,145.4735285655571,145.66251952322233,153.8589473684209,153.30827268316355,153.97241370808683,161.12522106308992,161.76922480620155,162.98072091363295,194.2030919102075,193.6541634900466,197.96809402795432,197.29645489199535,195.40694020356224,198.85308343922094,3.5350207182320426,3.545725138121547,3.5402048802946577,3.5465216390423593,3.5397467771639097,3.543768416206265
NET 5,13.28400328812166,13.473216193999168,13.36729140978214,13.312988080558975,13.380863131935882,13.34885326757091,23.31399853801171,23.369679767103367,23.27795364891519,23.350250869349253,23.341824686940967,23.435478229835848,24.092814485387578,24.218216857263887,24.286590427784848,24.19073274036428,24.220084817642046,24.325406607369768,1.333425414364637,1.3330248618784488,1.3317587476979704,1.3338259668508246,1.3323135359115987,1.3323434622467738
NETB 2,103.32148766954379,104.74634032059195,105.52368434032054,101.73392437320193,102.47582490752167,102.25806596794068,152.3155336257309,153.99108369723442,154.15113609467448,151.3834225037258,150.80903398926654,153.4939743040686,97.6717585768741,97.93725285895808,98.3857712833546,98.28137484116897,98.00502798982183,98.47399999999996,3.7637700276243127,3.75832780847146,3.7644288674033137,3.7609033149171247,3.7643453038674015,3.769038674033153
APPB,11.896173448417581,11.907833949856144,23.742433210028754,17.12039868475134,17.110933004521165,34.30220304151254,11.465555555555556,23.34004366812228,23.32120315581855,27.60620963735718,27.586511627906965,54.95164882226982,15.10345616264293,15.131435832274438,29.92296060991103,15.118360864040637,15.147803223070403,29.977522236340608,17.06832412523022,21.56434162062618,43.444143646408804,21.68784990791897,17.432559852670337,33.908218232044206
