bench,aws,azure,gcp,egi,a1.large-1,a1.large-2,a1.xlarge-1,m5.large-1,m5.large-2,m5.xlarge-1,A2-1,A2-2,A4-1,B2MS-1,B2MS-2,B4MS-1,e2-t1-1,e2-t1-2,e2-t2-1,n1-t1-1,n1-t1-2,n1-t2-1,T1-1,T1-2,T2-1,T3-1,T3-2,T4-1
APPB,19.35,28.05,20.07,25.85,11.90,11.91,23.74,17.12,17.11,34.30,11.47,23.34,23.32,27.61,27.59,54.95,15.10,15.13,29.92,15.12,15.15,29.98,17.07,21.56,43.44,21.69,17.43,33.91
CPU AES,1.16,2.77,1.24,2.23,1.31,1.30,1.33,1.03,1.03,0.98,3.78,3.78,3.79,1.75,1.77,1.75,1.28,1.27,1.21,1.24,1.23,1.19,2.52,2.02,2.00,2.02,2.44,2.39
CPU BZIP2,7.34,9.82,6.77,7.51,9.61,9.59,9.66,5.13,5.12,4.89,13.68,13.66,13.67,5.98,5.98,5.94,7.21,7.16,6.12,7.03,6.99,6.09,9.44,5.86,5.81,5.86,9.11,8.97
CPU DUR,0.25,0.27,0.18,0.26,0.35,0.34,0.32,0.17,0.17,0.12,0.41,0.34,0.34,0.17,0.18,0.14,0.20,0.19,0.15,0.20,0.19,0.15,0.34,0.20,0.17,0.20,0.33,0.30
CPU EVENTS,34389.00,15999.89,16997.83,22177.91,36659.91,36694.94,73884.40,14762.49,14750.27,29581.97,6644.67,13396.87,13343.10,15701.51,15734.80,31178.38,12748.74,12748.99,25426.72,12795.44,12781.43,25485.67,16197.65,16806.38,33398.22,16817.39,16793.57,33054.27
CPU LAT,0.09,0.21,0.16,0.12,0.05,0.05,0.05,0.13,0.13,0.13,0.30,0.30,0.30,0.13,0.13,0.13,0.16,0.16,0.16,0.16,0.16,0.16,0.12,0.12,0.12,0.12,0.12,0.12
CPU SHA256,3.05,5.86,3.58,4.09,3.20,3.20,3.17,2.94,2.94,2.84,8.24,8.21,8.20,3.51,3.51,3.48,3.69,3.68,3.44,3.64,3.63,3.43,5.20,3.19,3.15,3.19,4.93,4.89
CPU TH LAT,95.56,100.11,118.44,94.01,107.72,107.33,60.78,115.56,115.81,66.18,178.18,85.75,86.29,96.86,97.28,56.29,137.90,137.56,80.96,137.22,136.76,80.24,116.61,74.47,64.85,74.24,111.98,121.89
DISK FILE F,5651.07,1050.75,3508.15,441.75,5553.71,5359.11,5885.52,5900.64,5649.23,5558.23,442.24,476.04,463.19,1638.85,1641.95,1642.21,3287.89,3401.77,3416.86,3582.03,3794.25,3566.11,449.80,507.84,505.69,541.10,322.89,323.20
DISK FILE R,2648.97,492.06,1643.96,206.60,2603.84,2512.60,2759.36,2765.45,2647.61,2604.94,206.82,222.66,216.63,767.75,769.19,769.31,1540.73,1594.09,1601.18,1678.59,1778.07,1671.14,210.38,237.58,236.57,253.16,150.88,151.04
DISK FILE W,1765.98,328.04,1095.98,137.73,1735.89,1675.07,1839.57,1843.63,1765.07,1736.62,137.88,148.44,144.42,511.83,512.79,512.87,1027.15,1062.73,1067.45,1119.06,1185.38,1114.09,140.25,158.39,157.71,168.77,100.59,100.69
DISK LAT,0.10,2.10,0.16,1.46,0.10,0.10,0.09,0.09,0.10,0.10,4.24,3.64,3.69,0.34,0.34,0.34,0.17,0.17,0.16,0.16,0.15,0.16,1.25,1.26,1.26,1.20,1.91,1.91
