bench,a1.large-1,a1.large-2,a1.xlarge-1,m5.large-1,m5.large-2,m5.xlarge-1,A2-1,A2-2,A4-1,B2MS-1,B2MS-2,B4MS-1,e2-t1-1,e2-t1-2,e2-t2-1,n1-t1-1,n1-t1-2,n1-t2-1,T1-1,T1-2,T2-1,T3-1,T3-2,T4-1
NETB 1,0.07573307837654987,0.06671688702457507,0.07746267865114788,0.08475759290894529,0.0680185806708305,0.06490216028456954,0.2764112617094446,0.271818340199678,0.28229379334574434,0.24247633964110324,0.24153386808243255,0.23799173425459544,0.20487902601149513,0.1850505954692727,0.19295553844663094,0.20202918746550222,0.19613191617576684,0.19686229809974448,na,na,na,na,na,na
DISKB LAT,0.1394089857407441,0.1406286354508986,0.11958783434179251,0.13815706983184578,0.14141545868640762,0.12301918296575612,1.9729646166778216,1.3660163937100007,1.2055330944024316,0.23475935604494164,0.24611733870986405,0.21529719685621898,0.1398362426269318,0.13718204778868157,0.10098398330283395,0.14259737155069585,0.14371725410632735,0.101706730914564,0.12234947057863145,1.1374008720367923,1.4123844419744338,1.0714919575202564,1.3681338234657388,1.0672067205497782
CPU SHA256,0.018999342969347997,0.017686171436252913,0.010065061076100603,0.01996757888947326,0.027462776262037678,0.01097138842478455,0.04672881571131787,0.047463572770074666,0.046686172520361335,0.0553660927750394,0.05593597672954292,0.05693551784480944,0.02071781863404516,0.02269387985629129,0.020537271927434826,0.023173602007439897,0.019721699598724704,0.021314922404696363,0.012340434276098194,0.01602406468879762,0.01580296227775348,0.016048407118029153,0.021540036782834806,0.020906986976519507
CPU BZIP2,0.0070551601152659725,0.006358263975140544,0.03764832183251397,0.037162683924751805,0.014081430658682056,0.012604323170551067,0.037544332859685635,0.04083118028092636,0.03816529447881271,0.05385038753367933,0.05571000674091074,0.057440766069012585,0.030774223801878445,0.030248837571074827,0.03158286104199168,0.022530342779823142,0.013998686887510981,0.031818553288625456,0.010092839529738423,0.017266166334710918,0.016050220015953586,0.017022322701180655,0.017492183235425826,0.015908670586157424
CPU AES,0.03215650486565299,0.02817338609461831,0.08935732541978628,0.027617783608999216,0.026241618065033674,0.03672884627315245,0.13977959001544704,0.14360056674406688,0.1411383903801456,0.17144903521121185,0.16062131368602384,0.1647087010501521,0.04245472291141001,0.04351682671988952,0.030586211664406688,0.03086327500222547,0.020053886017806843,0.0337354926230444,0.019424847177180495,0.02758096260896224,0.022841777151558402,0.027823827493516376,0.02525963990141317,0.025048845618318882
DISK SEQ W,0.003595994137265396,0.0019032109673848686,0.011673994173383013,0.0020604863004829925,0.0016231229541153035,0.00153612346724727,0.026671789254050147,0.010391346857315091,0.01093774582781073,0.0016095369504345745,0.002069688095767066,0.0015810927910477226,0.07376614340416876,0.09072690047805905,0.09037750806146204,0.10449583756795881,0.12467288715057508,0.11344634321504742,0.007763174975562342,0.16100013734641874,0.16007313484732918,0.14822247343078704,0.10861614216369751,0.10358717341885898
NET 1,0.09260693831863358,0.0912749094174593,0.09355836334513161,0.08810814076563593,0.08758212109900378,0.0864546432908945,0.22914361519116727,0.2178596501445889,0.2265145663926754,0.35943959474660486,0.36651390895252295,0.3630878990609603,0.06791513294845283,0.07040651134687712,0.07178123394354216,0.06850563154540502,0.07103911689983936,0.07246291019675277,0.0443155437564115,0.04519956080558624,0.04524640951379942,0.044022947404957324,0.04667045132019631,0.04529989900827771
NET 2,0.15083908954644584,0.15809707535183956,0.15844793119577352,0.16973879524605534,0.16266417225132532,0.16793637297776215,0.30921395102242755,0.3223163338215266,0.3202801446654104,0.2793536775506238,0.2902143056711044,0.2893504915166769,0.26974348294704764,0.28586765115186313,0.2715012742053272,0.27761341982458637,0.27435926558036516,0.26552711289221204,0.13521151489296662,0.14268639088216065,0.1399775553734266,0.14004491414894726,0.13559110053899684,0.15795858138576235
NET 3,0.24855544595023435,0.1977726667858745,0.24678844522048152,0.24281504767992446,0.26177756042420025,0.2657515684068381,0.23544536339818434,0.22561184676865967,0.2121961304992245,0.0763042860198847,0.06992449717848087,0.07695733296461754,0.10046841888368509,0.09614651134725716,0.10255883584490165,0.10815710309198238,0.10133122118827212,0.10834056584595136,0.014576698749134753,0.012949192699657155,0.012614749254554298,0.01365468495817147,0.012529632571810776,0.011922675008886347
NET 4,0.09771543336139206,0.10567096591496329,0.0880467738836857,0.10242989640137057,0.11617838819945017,0.11746227816790349,0.16363342089131558,0.1551676684761753,0.1673194028025979,0.10917020485260624,0.11288696492342767,0.10637808325825346,0.09444452268484627,0.09892445055532491,0.09262043504493157,0.0949432619288948,0.09688691929881027,0.09284609710677343,0.06857779472415397,0.06433375955821379,0.07148209995433842,0.06230756817990823,0.06540618396786675,0.06031709226975406
NET 5,0.10812967662971312,0.08340987498893308,0.10103926768680331,0.11385060769325417,0.12318130531657205,0.1188317348470772,0.08575396592362965,0.07137873331205925,0.08960939803952857,0.06835032693680793,0.06667238325541773,0.06663517274363268,0.06861026145093056,0.06992009896931843,0.06838933185762813,0.07530414183634644,0.06878062971776086,0.06763029812574395,0.03650349034891498,0.03488173051523893,0.041970137121427796,0.03588669809610001,0.03801463453213612,0.042065550169582404
NETB 2,0.09547683851519824,0.09099687104033585,0.09245750307992508,0.08485868497003667,0.08595235157018369,0.08767716830161017,0.18523263949635854,0.17926356004089414,0.18488395735021107,0.19561978255163848,0.19576595847845907,0.20183058705085363,0.06904539601899654,0.06739015511908805,0.06797575893844436,0.066267901585698,0.06858206660190937,0.06680498061737744,0.028388833872199024,0.02906373056078772,0.03061788412542775,0.028639821512866207,0.027724079033276915,0.026842764190994486
APPB,0.008046834335079594,0.008962614709261463,0.07326121211018347,0.008327479109821628,0.008830378619654375,0.010857026199246894,0.043591321911128224,0.03947090175272362,0.03680997683604971,0.05868209959751441,0.06389555323380829,0.051218211060222806,0.006969142370132882,0.00832763856315424,0.012080622483447573,0.010381573948009207,0.00956754415189677,0.015233266554818282,0.013075548180212043,0.020512981198885838,0.01600157786670459,0.02301216540889412,0.015500971193007078,0.01619810639981252
